epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.0143,1.73951,3.08348,1.67877,0.37406,0.39321,0.31028,0.19514,1.6508,2.30794,1.42863,0.00331471,0.00331471,0.00331471
2,142.047,1.4983,1.91988,1.42184,0.38076,0.22478,0.14432,0.07734,1.85266,3.0211,1.65472,0.00661514,0.00661514,0.00661514
3,210.362,1.62872,2.05851,1.52804,0.06459,0.11686,0.02122,0.00911,2.74519,7.0965,2.48354,0.00988256,0.00988256,0.00988256
4,278.658,1.70999,2.17143,1.60564,0.22992,0.12731,0.0528,0.02736,2.33977,4.97505,2.11749,0.0098515,0.0098515,0.0098515
5,346.311,1.59514,1.95922,1.54555,0.13925,0.21613,0.06265,0.02565,2.23236,4.07588,1.90397,0.009802,0.009802,0.009802
6,413.927,1.52191,1.83539,1.49209,0.30962,0.35734,0.24293,0.13172,1.86802,2.60945,1.66154,0.0097525,0.0097525,0.0097525
7,481.51,1.46612,1.72965,1.45575,0.43632,0.43876,0.38109,0.22199,1.70378,2.26909,1.56092,0.009703,0.009703,0.009703
8,549.203,1.43166,1.64488,1.43333,0.29628,0.22087,0.17153,0.09885,1.84106,3.08781,1.6765,0.0096535,0.0096535,0.0096535
9,616.723,1.39931,1.57376,1.40411,0.44611,0.47954,0.40392,0.24194,1.619,2.09234,1.50015,0.009604,0.009604,0.009604
10,684.415,1.36069,1.51646,1.38883,0.45446,0.43189,0.38112,0.21921,1.70889,2.0803,1.52327,0.0095545,0.0095545,0.0095545
11,751.95,1.34384,1.48343,1.3657,0.4968,0.51518,0.49788,0.29665,1.54316,1.80564,1.44195,0.009505,0.009505,0.009505
12,819.675,1.31491,1.4266,1.35369,0.50493,0.47847,0.46724,0.27644,1.55301,1.85865,1.43479,0.0094555,0.0094555,0.0094555
13,887.18,1.2949,1.38268,1.33994,0.48001,0.567,0.53645,0.33262,1.51657,1.59044,1.41721,0.009406,0.009406,0.009406
14,954.785,1.26775,1.35784,1.32533,0.56904,0.56322,0.5694,0.35399,1.46565,1.54733,1.39249,0.0093565,0.0093565,0.0093565
15,1022.51,1.25002,1.32151,1.31569,0.58148,0.43969,0.45006,0.25847,1.541,1.88169,1.41236,0.009307,0.009307,0.009307
16,1090.27,1.23315,1.29247,1.29906,0.5134,0.52619,0.50808,0.316,1.4911,1.87632,1.42688,0.0092575,0.0092575,0.0092575
17,1157.67,1.22971,1.26752,1.29431,0.50358,0.56967,0.5306,0.32452,1.48804,1.61404,1.40719,0.009208,0.009208,0.009208
18,1225.1,1.20036,1.23924,1.28002,0.52582,0.43834,0.42818,0.2464,1.51591,1.82545,1.40959,0.0091585,0.0091585,0.0091585
